id,da0e,price,bedrooms,ba0hrooms,sqf0_living,sqf0_lo0,floors,wa0erfron0,view,condi0ion,grade,sqf0_above,sqf0_basemen0,yr_buil0,yr_renova0ed,zipcode,sqf0_living15,sqf0_lo015
1,2.01E+14,221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,1340,5650
2,2.01E+14,538000,3,2,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,1690,7639
3,2.02E+14,180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,2720,8062
4,2.01E+14,604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,1360,5000
5,2.02E+14,510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,1800,7503
6,2.01E+14,1.23E+06,4,5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,4760,101930
7,2.01E+14,257500,3,2,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,2238,6819
8,2.02E+14,291850,3,2,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,1650,9711
9,2.02E+14,229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,1780,8113
10,2.02E+14,323000,3,3,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,2390,7570
11,2.02E+14,662500,3,3,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,2210,8925
12,2.01E+14,468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,1330,6000
13,2.01E+14,310000,3,1,1430,19901,2,0,0,4,7,1430,0,1927,0,98028,1780,12697
14,2.01E+14,400000,3,2,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,1370,10208
15,2.02E+14,530000,5,2,1810,4850,2,0,0,3,7,1810,0,1900,0,98107,1360,4850
16,2.02E+14,650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,2140,4000
17,2.01E+14,395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,1890,14018
18,2.01E+14,485000,4,1,1600,4300,2,0,0,4,7,1600,0,1916,0,98103,1610,4300
19,2.01E+14,189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,1060,5095
20,2.02E+14,230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,1280,8850
21,2.01E+14,385000,4,2,1620,4980,1,0,0,4,7,860,760,1947,0,98133,1400,4980
22,2.01E+14,2.00E+06,3,3,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,4110,20336
23,2.01E+14,285000,5,3,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,2240,7005
24,2.01E+14,252700,2,2,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,1220,8386
25,2.01E+14,329000,3,2,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,2200,6865
26,2.01E+14,233000,3,2,1710,4697,2,0,0,5,6,1710,0,1941,0,98002,1030,4705
27,2.01E+14,937000,3,2,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,1760,3573
28,2.01E+14,667000,3,1,1400,1581,2,0,0,5,8,1400,0,1909,0,98112,1860,3861
29,2.01E+14,438000,3,2,1520,6380,1,0,0,3,7,790,730,1948,0,98115,1520,6235
30,2.02E+14,719000,4,3,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,2630,6026
31,2.01E+14,580500,3,3,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,2580,3980
32,2.01E+14,280000,2,2,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,1390,1756
33,2.01E+14,687500,4,2,2330,5000,2,0,0,4,7,1510,820,1929,0,98117,1460,5000
34,2.01E+14,535000,3,1,1090,3000,2,0,0,4,8,1090,0,1929,0,98117,1570,5080
35,2.01E+14,322500,4,3,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,2020,8720
36,2.01E+14,696000,3,3,2300,3060,2,0,0,3,8,1510,790,1930,2002,98115,1590,3264
37,2.01E+14,550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,2160,11467
38,2.01E+14,640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,1730,4700
39,2.02E+14,240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,1290,7800
40,2.01E+14,605000,4,3,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,2620,11884
41,2.01E+14,625000,4,3,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,2470,5669
42,2.01E+14,775000,4,2,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,2410,30617
43,2.01E+14,861990,5,3,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,3625,5639
44,2.01E+14,685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,1580,2640
45,2.01E+14,309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,1340,8808
46,2.01E+14,488000,3,3,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,3050,9232
47,2.02E+14,210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,1228,8840
48,2.01E+14,785000,4,3,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,2680,13685
49,2.02E+14,450000,3,2,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,970,5100
50,2.02E+14,1.35E+06,3,3,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,2680,72513
51,2.01E+14,228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,1190,9364
52,2.02E+14,345000,5,3,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,1990,9133
53,2.01E+14,600000,3,2,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,1410,4080
54,2.02E+14,585000,2,2,1980,8550,1,0,0,3,7,990,990,1981,0,98117,1480,6738
55,2.02E+14,920000,5,2,2730,6000,2,0,0,3,8,2130,600,1927,0,98105,2730,6000
56,2.01E+14,885000,4,3,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,1950,5000
57,2.01E+14,292500,4,3,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,2250,4500
58,2.02E+14,301000,3,3,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,2690,4750
59,2.01E+14,951000,5,3,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,2960,11044
60,2.02E+14,430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,2270,8542
61,2.01E+14,650000,3,2,2150,21235,1,0,3,4,8,1590,560,1959,0,98166,2570,18900
62,2.01E+14,289000,3,2,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,1290,8750
63,2.01E+14,505000,3,2,2519,8690,2,0,0,5,8,2519,0,1973,0,98166,2500,9500
64,2.01E+14,549000,3,2,1540,1044,3,0,0,3,8,1540,0,2014,0,98115,1580,3090
65,2.01E+14,425000,3,2,1660,6000,1,0,0,3,7,1110,550,1979,0,98122,1440,4080
66,2.01E+14,317625,3,3,2770,3809,2,0,0,5,7,1770,1000,1925,0,98144,1440,4000
67,2.01E+14,975000,4,3,2720,11049,2,0,0,3,10,2720,0,1989,0,98004,2750,11049
68,2.01E+14,287000,4,3,2240,4648,2,0,0,3,7,2240,0,2005,0,98001,2221,4557
69,2.01E+14,204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,98042,1010,12635
70,2.01E+14,1.33E+06,5,2,3200,20158,1,0,0,3,8,1600,1600,1965,0,98004,3390,20158
71,2.01E+14,1.04E+06,5,3,4770,50094,1,0,0,4,11,3070,1700,1973,0,98005,3530,38917
72,2.02E+14,325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,98034,1640,4745
73,2.01E+14,571000,4,2,2750,7807,2,0,0,5,7,2250,500,1916,0,98125,1510,7807
74,2.01E+14,360000,4,3,2380,5000,2,0,0,3,8,2380,0,2005,0,98038,2420,5000
75,2.02E+14,349000,3,2,1790,50529,1,0,0,5,7,1090,700,1965,0,98042,1940,50529
76,2.01E+14,832500,4,4,3430,35102,2,0,0,4,10,2390,1040,1986,0,98075,3240,35020
77,2.01E+14,380000,4,2,1760,7300,1,0,0,3,7,880,880,1956,0,98008,1680,7500
78,2.02E+14,480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,98116,890,5060
79,2.01E+14,410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,98133,1130,5693
80,2.02E+14,720000,4,3,3450,39683,2,0,0,3,10,3450,0,2002,0,98010,3350,39750
81,2.01E+14,390000,3,3,2350,5100,2,0,0,3,8,2350,0,2003,0,98038,2350,5363
82,2.01E+14,360000,4,3,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,1870,6405
83,2.01E+14,355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,1720,6720
84,2.02E+14,356000,3,2,1680,8712,1,0,0,3,8,1680,0,1964,0,98059,1850,8797
85,2.01E+14,315000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,98125,1570,7203
86,2.01E+14,940000,3,2,2140,3600,2,0,0,3,9,1900,240,1925,0,98119,2020,4800
87,2.01E+14,305000,5,2,2660,8400,2,0,0,5,7,2660,0,1961,0,98092,1590,8165
88,2.01E+14,461000,3,3,2770,6278,2,0,0,3,9,1980,790,2006,0,98056,1900,7349
89,2.01E+14,215000,2,2,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,1950,2025
90,2.01E+14,335000,2,2,1030,1066,2,0,0,3,7,765,265,2006,0,98136,1030,1106
91,2.01E+14,243500,4,3,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,1980,7510
92,2.02E+14,1.10E+06,5,3,3520,6353,2,0,0,4,10,3520,0,2001,0,98199,2520,6250
93,2.02E+14,153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,98023,1350,10500
94,2.01E+14,430000,3,2,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,1570,4500
95,2.01E+14,905000,4,3,3300,10250,1,0,0,3,7,2390,910,1946,1991,98040,1950,6045
96,2.02E+14,247500,3,2,1960,15681,1,0,0,3,7,1960,0,1967,0,98032,1750,15616
97,2.01E+14,199000,4,2,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,1160,6400
98,2.01E+14,314000,3,2,1810,41800,1,0,0,5,7,1210,600,1980,0,98038,1650,135036
99,2.01E+14,437500,3,3,2320,36847,2,0,2,3,9,2320,0,1992,0,98045,2550,35065
100,2.01E+14,850830,3,3,2070,13241,2,0,0,5,9,1270,800,1910,0,98102,2200,4500
101,2.01E+14,555000,3,2,1980,3478,2,0,0,4,7,1440,540,1929,0,98117,1610,3478
102,2.01E+14,699950,3,2,2190,107593,2,0,0,4,8,2190,0,1983,0,98077,2570,47777
103,2.01E+14,1.09E+06,3,3,2920,8113,2,0,0,3,8,2920,0,1950,2010,98004,2370,8113
104,2.01E+14,290000,3,1,1210,33919,1,0,0,3,7,1210,0,1954,0,98058,1640,14910
105,2.02E+14,375000,3,3,2340,10005,1,0,0,4,8,1460,880,1978,0,98058,2250,8162
106,2.01E+14,460000,3,1,1670,4005,2,0,0,4,7,1170,500,1939,0,98117,1240,4005
107,2.01E+14,188500,2,2,1240,2493,1,0,0,4,8,1240,0,1985,0,98198,1270,4966
108,2.02E+14,680000,4,3,3140,28037,2,0,0,4,10,3140,0,1991,0,98077,2990,35001
109,2.01E+14,470000,5,2,2030,12342,2,0,0,4,7,2030,0,1942,0,98052,2500,9433
110,2.01E+14,597750,4,3,2310,9624,2,0,0,3,8,2310,0,1984,0,98027,1940,9636
111,2.02E+14,570000,3,2,1260,3328,1,0,0,5,6,700,560,1905,0,98103,1380,3536
112,2.01E+14,272500,3,2,1540,12600,1,0,0,4,7,1160,380,1980,0,98038,1540,11656
113,2.01E+14,329950,3,2,2080,5969,1,0,2,3,7,1080,1000,1971,0,98108,2090,5500
114,2.01E+14,480000,4,3,3230,16171,2,0,3,3,9,2520,710,2001,0,98001,2640,8517
115,2.01E+14,740500,3,4,4380,6350,2,0,0,3,8,2780,1600,1900,1999,98117,1830,6350
